smiles,reagent1,reagent2,reagent3,reagent4,reaction,clogp,mol_weight,chemprop_score,chemprop_rdkit_score,random_forest_score,clogp_6.5
O=C(CCC1=CNN=C1)NC1CCCN(C(=O)C2=CNC(=O)S2)CC1,7752836,22130991,3389307.0,,275592,0.9031999999999992,363.443,0.003172067,0.003079936,0.0105,0
COC(=O)NC(C)(C)C(=O)NC1CCC(C)N(C(=O)COC2=CC=CC=C2)C1,9150146,1302,2256465.0,,275592,1.6957000000000002,391.468,0.001513746,0.000831994,0.0045,0
CN(C(=O)C#CC(C)(C)C)C1CN(C(=O)C2CC3=CC=CC=C3C(=O)O2)CC12CC2,26490344,3478487,15597.0,,275592,2.2669999999999995,408.498,0.002017261,0.001204223,0.011333333,0
CC(C(=O)N1CC2(NC(=O)C(=O)NC3=CC=C(Cl)C=C3)CCC1C2)=C1CCC1,27226327,33215,13113601.0,,275592,3.0286000000000017,401.894,0.001632206,0.002538917,0.00675,0
C=C/C(C)=C\C(=O)N1CCC(N2CCN(C(=O)CC(C)OC)CC2)CC1,7169227,24060308,2049802.0,,275592,1.6789,363.502,0.009640206,0.000988698,0.017,0
"O=C(N[C@H]1CCCC[C@H]1CNC(=O)C1(N2C=CN=C2)CCCC1)C(F)=CC1=CN=CN1 |&1:3,8|",25867166,26039593,24763834.0,,275592,2.6773,428.512,0.006809745,0.03630105,0.0125,0
CC1=C(C(=O)N2CC3CC(C2)CN(C(=O)C(C)CCC(C)(C)C)C3)SC(C(C)C)=N1,5217227,3747842,631892.0,,275592,4.957820000000005,433.662,0.036405283,0.027814354,0.040657143,0
CC1(C(=O)N2CCN(CCCCCNC(=O)CC3=CN=CN=C3)CC2)CCCNC1=O,8969394,2810696,3736223.0,,275592,0.366100000000003,430.553,0.026714367,0.020616931,0.02205,0
CC1=CC=CC(NC(=O)C(=O)N2CCC(C)C2CNC(=O)C2=C(C3CC3)N=CS2)=C1,11472559,3579598,3729303.0,,275592,2.934420000000001,426.542,0.008323241,0.010579283,0.011,0
"NC1=CC=C(C(=O)N2C[C@@H](NC(=O)C3=CC4=C(OCCO4)C(Cl)=C3)[C@@H](O)C2)N=C1N |&1:9,24|",22231480,31741,3061678.0,,275592,0.2859,433.852,0.130393685,0.025199851,0.0358,0
"CC1=C(C)C(C(=O)N2CC[C@@]3(CNC(=O)CCCC(C)(C)C)CCC[C@@H]23)=CC=C1N |&1:10,25|",24605651,2294463,3000752.0,,275592,4.603040000000004,413.606,0.002441908,0.001144856,0.036766667,0
COCC=CC(=O)N(CCO)CCCNC(=O)C1N(C(=O)OC(C)(C)C)CC1(C)C,11313840,23943202,11472494.0,,275592,1.1617000000000006,427.542,0.065790076,0.019046646,0.0125,0
"C[C@@H]1OCCC[C@@H]1C(=O)NCCC1COCCN1C(=O)C(=O)C1=CC=C(F)C=C1 |&1:1,6|",7637525,22131576,3727490.0,,275592,1.5571999999999997,406.454,0.002718048,0.001256454,0.0034,0
CCC(NC(C)=O)C(=O)NCC(CO)CNC(=O)C1=CC(C(C)C)=CC=C1C,26136162,68703,3727961.0,,275592,1.4876200000000006,391.512,0.002751498,0.014618853,0.024333333,0
CC1CCCC(C(=O)NC2(C)CCN(C(=O)C3(C4=CC=NO4)CC3)CC2)C1,8170699,26577512,53978.0,,275592,3.0298000000000016,373.497,0.001237826,0.007205158,0.022,0
CC(C)(CC(=O)N1CCN(C(=O)C2(O)CCSCC2)CC1)CC(F)F,42394,3735936,24366075.0,,275592,1.9867999999999997,378.485,0.00338127,0.007651787,0.050355556,0
CN(C(=O)CN1C=NC(C(N)=O)=N1)C1CCC(NC(=O)C2CC3=CC=CC=C3C2)C1,26776297,22953887,74060.0,,275592,0.2877000000000016,410.478,0.002274831,0.00885147,0.028,0
CC(C)CCC(=O)NCC1CC12CCN(C(=O)CC(CN(C)C)C(F)(F)F)CC2,6968860,15437,26733352.0,,275592,3.2977000000000016,419.532,0.002375385,0.007310465,0.052511905,0
CCN(CCCNC(=O)C[C@@H]1CC=CCC1)C(=O)C1=CC=C(Br)C(C)=C1,569256,3482312,59131.0,,275592,4.472320000000004,421.379,0.001879981,0.007662762,0.016,0
"C=CC1(CC(=O)N2C[C@@H](NC(=O)C3CC(=O)OC3(C)C)[C@H](C(F)F)C2)CCC1 |&1:8,20|",26037268,3598114,64109.0,,275592,2.2828,398.45,0.008201289,0.002632673,0.03045202,0
CC1=COC(C(=O)N(C)CC2(O)CN(C(=O)CCCCOC3=CC(C)=CC=C3C)C2)=C1,22490980,2020454,3479274.0,,275592,3.099460000000001,428.529,0.036744863,0.002107104,0.028542857,0
CCCC[C@H](C)C(=O)N1CC(O)(CNC(=O)C(C2=CC=CC=C2)N2CCSCC2)C1,5216434,2020472,2991926.0,,275592,2.2923,433.618,0.006712009,0.017867583,0.025967857,0
CC(C(=O)N1CCCC2(CN(C(=O)C3C=CC=CC=C3)CCO2)C1)C1=CC=CC=C1,8954375,3003594,53501.0,,275592,3.308500000000002,406.526,0.003360891,0.005873321,0.026910714,0
CC(C)(CN1CCN(C(=O)C2=CC=CC=C2CO)CC1)NC(=O)C1CCC=CCCC1,16579296,23693270,2230464.0,,275592,2.968000000000001,427.589,0.004575243,0.029817236,0.0022,0
CCN(CCNC(=O)C1=C(O)C(C)=NC(C)=C1)C(=O)CCN1CCC(F)C1,3017587,24542068,3536294.0,,275592,1.41624,380.464,0.002551064,0.000519511,0.02015,0
CC1=CC=C(F)C(C(=O)NC2CN(C(=O)CCOCC3CC3)CC23CCOCC3)=C1,24950152,8875549,78181.0,,275592,2.688220000000001,418.509,0.00163414,0.002058979,0.017533333,0
CC(=O)N1CSC[C@@H]1C(=O)NC1C2=CC=CC=C2N(C(=O)OC(C)(C)C)C1(C)C,24276484,3742225,,,22,3.299000000000002,419.547,0.004859705,0.030759896,0.031625,0
CC1=CN2C=CC=C(C(=O)NC[C@@H](C)CNC(=O)C3=CN(C4=CC=NC=C4)N=C3)C2=N1,26316032,27002162,4426708.0,,275592,2.01932,417.473,0.004996581,0.005586909,0.027,0
O=C(C=CC1=NC=CN1)N1CCCC(N(CCO)C(=O)[C@H]2C[C@@H](C3=CC=CC=C3)C2)C1,24184878,24144429,3729260.0,,275592,2.4286000000000003,422.529,0.005218903,0.039253032,0.0245,0
CCN(CCNC(=O)C1=CC2=CC(F)=CC=C2OC1)C(=O)CC1=C(C)N(C)N=C1,3017587,10566118,3622534.0,,275592,1.85082,400.454,0.004404188,0.004658148,0.007,0
COCCOCCN1N=CC=C1C(=O)NCCNC(=O)C1=NOC(COC(C)(C)C)=C1,56032,9381629,8013809.0,,275592,1.009000000000001,437.497,0.002396945,0.001308143,0.0265,0
"CCN1N=C(C)C(C(=O)N2[C@@H]3CC[C@H]2[C@H](F)[C@@H](NC(=O)C(C)=CC2=CC=NC=C2)C3)=C1C |&1:10,13,14,16|",26745262,22960917,2167511.0,,275592,3.2181400000000018,439.535,0.002141876,0.004048843,0.0434,0
CN1C=C(C(=O)N2C[C@@H](F)C[C@H](NC(=O)C3=C4CCCC4=NNC3=O)C2)C=CC1=O,11324027,438816,24787229.0,,275592,-0.0600999999999987,415.425,0.008555466,0.00473809,0.02725,0
CN(C)C1=NC=C(C(=O)NC2(C)CCN(C(=O)C3=CC4=C(C=CS4)N3)C2)C=N1,8609315,2800640,26743292.0,,275592,2.12,398.492,0.003167076,0.00025436,0.025,0
CC1=CC2=NC=CN=C2C=C1C(=O)NC[C@H]1C[C@@H](NC(=O)C2=C3OCOC3=CC=C2F)C1,22693246,3745504,3019803.0,,275592,2.7444200000000007,436.443,0.004052493,0.019025144,0.011,0
CCC(C)(C)C1CCC(CC(=O)NCCCN(C)C(=O)C2=CC=C(C#N)O2)CC1,261725,8863288,3124507.0,,275592,4.362280000000004,401.551,0.001513108,0.002770168,0.026566667,0
"COCC1(C(=O)N[C@@H]2CN(C(=O)C3=CC=C4NC(=O)CCC4=C3)CC[C@H]2CO)CCC1 |&1:7,25|",26537137,39318,3064357.0,,275592,1.3272000000000004,429.517,0.017681895,0.0050224,0.0114,0
"O=C(CC1=CSC(C2CCCC2)=N1)NCCCCCNC(=O)[C@@H]1[C@@H](C2CC2)C1(F)F |&1:22,23|",64086,26386525,7383420.0,,275592,4.037200000000003,439.572,0.04356612,0.043623379,0.032333333,0
CC1=CC=NC(C(=O)N2CCCC3(CC(NC(=O)C4=CC=C5C=NNC5=C4)CO3)C2)=C1,4328212,46052,2795963.0,,275592,2.460020000000001,419.485,0.001745007,0.003588079,0.0264,0
CC1=CC=CC(N)=C1C(=O)N[C@H]1CCN(C(=O)C2(C3=CC=CC=C3Cl)CCC2)C1,2017706,8831135,52611.0,,275592,3.683220000000003,411.933,0.008380078,0.007429478,0.014,0
CCN(CCNC(=O)CC1(OC)CCCC1)C(=O)CCC1=CC=C(SC)C=C1,3017587,2016943,22371123.0,,275592,3.6551000000000022,406.592,0.015978982,0.099113361,0.023666667,0
COC(=O)C1=C(C)N(CCNC(=O)C(=O)N[C@H]2CCC3=CC=C(OC(F)F)C=C32)C=C1,34111715,26558045,,,271948,2.1044199999999997,435.427,0.006143286,0.00730327,0.016,0
CCC(CNC(=O)CN1C=C(C2CCC2)N=N1)NC(=O)C(C)OCC1=CC=CC=C1,3662722,2043431,24624614.0,,275592,2.1619,413.522,0.009216112,0.02236975,0.005,0
CCOC1=CN=C(C(=O)NC2CC23CCN(C(=O)C2=CC(C(F)F)=CS2)CC3)C=N1,993199,3732746,26382595.0,,275592,3.299100000000002,436.484,0.02228477,0.002396287,0.020125,0
CC1=CC(C)=C(C(=O)NC2CCCN(C(=O)C3=C(Cl)C=C(F)C(Cl)=C3)C2)C=N1,189844,11392683,2790451.0,,275592,4.178940000000003,424.303,0.005455294,0.008164887,0.012,0
CC1=CC=C2C=NC=CC2=C1C(=O)N1CCC[C@H](NC(=O)C2=C(Cl)C(C)=NN2)C1,2243456,11249582,3102617.0,,275592,3.262740000000001,411.893,0.004505318,0.004867269,0.013,0
CN(C[C@H]1CC[C@H](CNC(=O)[C@@H]2CNC(=O)N2)CC1)C(=O)C1=NN=C(C(C)(C)C)N1,27219537,2017824,24765145.0,,275592,0.7782000000000018,419.53,0.004983207,0.001008491,0.0101,0
"O=C(NC(CC1=CC=CN=C1)C(=O)N1C[C@@H]2CC[C@]2(C(=O)O)C1)C1=CC=CC=C1 |&1:15,18|",24744438,26034614,,,188690,1.7458999999999991,393.443,0.001881303,0.00100038,0.009333333,0
CC1(CNC(=O)C2=CN=C(C3=CC=CO3)S2)CN(C(=O)C(O)C(C)(C)C)CCO1,24617359,2257462,2806898.0,,275592,2.1574,421.519,0.004468628,0.005141914,0.0085,0
CCCCCCC(=O)N(C)CCOCCCN(C)C(=O)C(CCC(C)C)NC(C)=O,27277737,3131,3733758.0,,275592,3.2212000000000014,427.63,0.005745447,0.010020509,0.099825397,0
COC1=CC=C(C(=O)C(=O)N(C)C(C)CCNC(=O)C(O)C2=CC=CC=C2)C=C1OC,2808355,666,3915359.0,,275592,1.9733,428.485,0.004884464,0.022130208,0.0155,0
COC1=CC=C(C(=O)N2CC(C)(C)OCC2CNC(=O)C2=C(C)OC(Cl)=N2)C(C)=N1,26606473,3615103,12408763.0,,275592,2.39804,436.896,0.002537054,0.001501827,0.0135,0
CCC(CC)(CNC(=O)CCC1=NC=CN1)NC(=O)CC1CCC(C)O1,4803774,3100706,3479451.0,,275592,2.0911,364.49,0.003423758,0.000751801,0.006,0
"CC1=C(F)C=CC(C(=O)N[C@@H]2CCCC[C@H]2NC(=O)[C@H](C)C2=CC=CC=C2)=C1C#N |&1:10,15|",22279607,2242455,22585425.0,,275592,3.966700000000002,407.489,0.004138433,0.005431518,0.0127,0
C=CCC1(NC(=O)C2=CN(C3CC3)C(=O)C=C2)CCN(C(=O)C2CCCN2N=O)CC1,11311989,3767956,11390924.0,,275592,1.9961,427.505,0.014123322,0.00820838,0.015,0
O=C(NC1(CNC(=O)C(F)(F)C2=NC=CC=N2)CCC1)C1=CN=C(C2CCOC2)S1,26699604,4832520,22374322.0,,275592,1.9977,437.472,0.009137245,0.005182576,0.03265,0
CC1=NC(C)=C(C(=O)N[C@@H]2CN(C(=O)C3=CC=CC=C3C3=NN=C(C)O3)C[C@@H]2F)C(C)=N1,6755365,3731176,3694544.0,,275592,2.35278,438.463,0.003117105,0.003518523,0.0529,0
"COC1=NC=CC=C1CC(=O)N1CC[C@H]2[C@@H](C1)CN2C(=O)CCSC1=CC=CC=C1 |&1:14,15|",22236575,4003,3018227.0,,275592,2.8744000000000014,425.554,0.001515608,0.02195048,0.047492857,0
"O=C(N[C@@H]1CCN(C(=O)C2=C(Cl)CCCC2)C[C@H]1CO)C1=CC=C(CO)N=C1 |&1:3,17|",26536712,41234,3620468.0,,275592,1.5799999999999998,407.898,0.001915335,0.00670923,0.019,0
CC1=CC(C=CC(=O)N2CC[C@@](C)(NC(=O)CN(C)S(C)(=O)=O)C2)=CN=C1N,24515955,95571,24077918.0,,275592,-0.0159799999999968,409.512,0.001380345,0.001555913,0.00725,0
CN(CCOCCCNC(=O)C1=CC(F)=CC=C1O)C(=O)C1=CC=C2N=CSC2=C1,27275840,6719,51121.0,,275592,3.0497000000000005,431.489,0.002863038,0.005831833,0.048,0
COC1=CC=C(C(=O)N2CCCC(N(C)C(=O)CC3=NN(C)C(=O)C3)CC2)C=C1F,27219976,32658,8872773.0,,275592,1.8956,418.469,0.003215117,0.00503124,0.019,0
CC(=O)N1CCC(C)(C(=O)NCCCCN(C)C(=O)C2=C(C)N=CS2)C1,8844540,6838283,48378.0,,275592,1.6784200000000002,380.514,0.007181187,0.001271422,0.009333333,0
COCC(F)(F)C(=O)NCC1CC(O)(CNC(=O)C2=CN=C(N(C)C)C(Cl)=C2)C1,26387680,8836598,12408389.0,,275592,1.069799999999999,434.871,0.011098753,0.007349317,0.045416667,0
