model,roc_auc,prc_auc,time_seconds
model_0,0.9612495304870414,0.6827861820910179,984.6124222278595
model_1,0.9742233268240724,0.7362818045032332,1036.0858991146088
model_2,0.9620107444359172,0.6188947874583277,1019.0626275539398
model_3,0.9834836710726869,0.856726299988572,1022.2609379291534
model_4,0.9730222604030082,0.7687688590124387,950.4867169857025
model_5,0.9821639560745066,0.7258527138995106,1041.159215927124
model_6,0.969804913775884,0.7391119628720094,1021.3627424240112
model_7,0.9712426035502959,0.7374437537437103,929.8134772777557
model_8,0.9835872857982547,0.7423079160227819,933.0757460594177
model_9,0.9737507132958343,0.7686344220085364,918.5099067687988
